BS 119 has 33UE, T :92.6372, rho : 0.965462
BS 120 has 32UE, T :6.78919, rho : 0.659282
BS 121 has 33UE, T :135.951, rho : 0.975615
BS 122 has 30UE, T :5.51056, rho : 0.606923
BS 123 has 33UE, T :26.6469, rho : 0.883526
BS 124 has 24UE, T :2.03085, rho : 0.341846
BS 125 has 31UE, T :3.46985, rho : 0.516667
BS 126 has 35UE, T :112.697, rho : 0.971474
BS 127 has 29UE, T :12.5754, rho : 0.784487
BS 128 has 27UE, T :3.87478, rho : 0.502846
BS 129 has 35UE, T :47.3424, rho : 0.935278
BS 130 has 20UE, T :3.20661, rho : 0.423077
BS 131 has 38UE, T :73.2313, rho : 0.95812
BS 132 has 40UE, T :15.0206, rho : 0.825812
BS 133 has 17UE, T :1.9919, rho : 0.283333
BS 134 has 41UE, T :137.731, rho : 0.977342
BS 135 has 38UE, T :100.498, rho : 0.969487
BS 136 has 35UE, T :677.599, rho : 0.995256
BS 137 has 31UE, T :8.52168, rho : 0.724128
BS 138 has 33UE, T :4.28088, rho : 0.591885
BS 139 has 25UE, T :4.56894, rho : 0.534402
BS 140 has 36UE, T :308.551, rho : 0.989231
BS 141 has 38UE, T :37.3579, rho : 0.926128
BS 142 has 25UE, T :2.42462, rho : 0.389744
BS 143 has 38UE, T :1999.24, rho : 0.998393
BS 144 has 31UE, T :10.1848, rho : 0.755923
BS 145 has 36UE, T :133.164, rho : 0.976615
BS 146 has 26UE, T :1.58641, rho : 0.301
BS 147 has 32UE, T :4.67006, rho : 0.573265
BS 148 has 35UE, T :53.8587, rho : 0.94141
BS 149 has 37UE, T :276.416, rho : 0.988722
BS 150 has 40UE, T :91.123, rho : 0.969744
BS 151 has 35UE, T :415.03, rho : 0.992564
BS 152 has 37UE, T :29.6369, rho : 0.903021
BS 153 has 26UE, T :3.28582, rho : 0.470111
BS 154 has 26UE, T :4.69727, rho : 0.551111
BS 155 has 34UE, T :10.3166, rho : 0.754974
BS 156 has 31UE, T :8.20356, rho : 0.693393
BS 157 has 24UE, T :3.12325, rho : 0.444308
BS 158 has 23UE, T :1.81073, rho : 0.310009
BS 159 has 21UE, T :2.75335, rho : 0.378538
BS 160 has 36UE, T :101.213, rho : 0.968308
BS 161 has 41UE, T :211.892, rho : 0.987154
BS 162 has 40UE, T :152.383, rho : 0.980171
BS 163 has 36UE, T :72.6282, rho : 0.960923
BS 164 has 39UE, T :79.1184, rho : 0.9625
BS 165 has 37UE, T :623.198, rho : 0.994731
BS 166 has 34UE, T :122.673, rho : 0.973068
BS 167 has 31UE, T :2.72731, rho : 0.444863
BS 168 has 36UE, T :589.455, rho : 0.994154
BS 169 has 37UE, T :236.942, rho : 0.986667
BS 170 has 38UE, T :97.061, rho : 0.968513
BS 171 has 23UE, T :1.35974, rho : 0.259487
BS 172 has 42UE, T :193.448, rho : 0.984487
BS 173 has 35UE, T :54.8852, rho : 0.946346
BS 174 has 37UE, T :397.708, rho : 0.992043
BS 175 has 41UE, T :30.6421, rho : 0.920573
BS 176 has 31UE, T :7.08969, rho : 0.66491
BS 177 has 41UE, T :232.263, rho : 0.985051
BS 178 has 36UE, T :5.58905, rho : 0.65
BS 179 has 28UE, T :9.06425, rho : 0.712205
BS 180 has 41UE, T :86.6499, rho : 0.964551
BS 181 has 40UE, T :11.8187, rho : 0.809744
BS 182 has 42UE, T :431.482, rho : 0.992564
BS 183 has 41UE, T :103.764, rho : 0.969983
BS 184 has 32UE, T :19.4859, rho : 0.846359
BS 185 has 36UE, T :51.9734, rho : 0.941538
BS 186 has 28UE, T :13.0097, rho : 0.789385
BS 187 has 27UE, T :3.94895, rho : 0.518308
BS 188 has 36UE, T :561.705, rho : 0.994154
BS 189 has 28UE, T :3.99525, rho : 0.523145
BS 190 has 32UE, T :158.677, rho : 0.980513
BS 191 has 31UE, T :761.597, rho : 0.995709
BS 192 has 35UE, T :58.5026, rho : 0.947692
BS 193 has 34UE, T :8.34186, rho : 0.702376
BS 194 has 44UE, T :159.772, rho : 0.981538
BS 195 has 32UE, T :31.2742, rho : 0.904615
BS 196 has 16UE, T :1.09937, rho : 0.168274
BS 197 has 36UE, T :29.7041, rho : 0.902769
BS 198 has 36UE, T :1343.24, rho : 0.997538
BS 199 has 25UE, T :2.60793, rho : 0.407372
BS 200 has 21UE, T :2.15226, rho : 0.323436
1599 429.556 0.736656 31.8458 79215.7 609.08 376.167
